episodeId,title,channelTitle,publishedAt,fileName
22,S4E13: Jocko Willink,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/s4e13-jocko-willink,5 Apr 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_22.txt
21,S4E12: Russell Brand and Mikhaila Peterson,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/s4e12-russell-brand-and-mikhaila-peterson,28 Mar 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_21.txt
20,S4E11: Abigail Shrier,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/s4e11-abigail-shrier,21 Mar 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_20.txt
19,Bret Weinstein,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/bret-weinstein,14 Mar 2021,transcripts/3_the_jordan_b._peterson_podcast/19.txt
18,Juliette Fogra,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/juliette-fogra,7 Mar 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_18.txt
17,Jonathan Pageau,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/jonathan-pageau,28 Feb 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_17.txt
16,Ayaan Hirsi Ali,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/ayaan-hirsi-ali,21 Feb 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_16.txt
15,Gad Saad: Infectious Ideas,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/gad-saad-infectious-ideas,14 Feb 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_15.txt
14,Mark Manson with Jordan and Mikhaila Peterson,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/mark-manson-with-jordan-and-mikhaila-peterson,7 Feb 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_14.txt
13,Matt Ridley: Rational Optimism,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/matt-ridley-rational-optimism,31 Jan 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_13.txt
12,Douglas Murray,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/douglas-murray,24 Jan 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_12.txt
11,Gregg Hurwitz: Build a Better Democrat,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/gregg-hurwitz-build-a-better-democrat,17 Jan 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_11.txt
10,Matthew McConaughey,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/matthew-mcconaughey-8e87af39-0f50-47a4-88f1-6876ebccb856,10 Jan 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_10.txt
9,Chris Voss with Jordan and Mikhaila Peterson,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/chris-voss-with-jordan-and-mikhaila-peterson,3 Jan 2021,transcripts/3_the_jordan_b._peterson_podcast/episode_9.txt
8,"Heidegger, Binswanger, Boss (Phenomenology)",https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/heidegger-binswanger-boss-phenomenology,27 Dec 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_8.txt
7,"Nietzsche, Dostoevsky, Kierkegaard (Existentialism)",https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/nietzsche-dostoevsky-kierkegaard-existentialism,20 Dec 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_7.txt
6,Carl Rogers (Humanism & Phenomenology),https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/carl-rogers-humanism-phenomenology,13 Dec 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_6.txt
5,Wim Hof with Jordan and Mikhaila Peterson,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/wim-hof-with-jordan-and-mikhaila-peterson,6 Dec 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_5.txt
4,Carl Jung (Part 1),https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/carl-jung-part-1,8 Nov 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_4.txt
3,Jean Piaget (Constructivism),https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/jean-piaget-constructivism,1 Nov 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_3.txt
2,Aleksandr Solzhenitsyn (Existentialism),https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/aleksandr-solzhenitsyn-existentialism,25 Oct 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_2.txt
1,Foreword to The Gulag Archipelago: 50th Anniversary,https://www.happyscribe.com/public/the-jordan-b-peterson-podcast/foreword-to-the-gulag-archipelago-50th-anniversary,18 Oct 2020,transcripts/3_the_jordan_b._peterson_podcast/episode_1.txt
